AVU.V,Avrupa Minerals Ltd.,
AVX.V,Altair Gold Inc,
AWE.V,Thunderstruck Resources,
AWI.V,Advent Wireless Inc,
AWS.V,Arrowstar Resources Ltd,
AXA.V,Axios Mobile Assets Corp,
AXE.V,Acceleware Ltd,
AXG.V,Antipodes Gold Limited,
AXM.V,Axmin Inc,
AXQ.V,Axe Exploration Inc,
AXS.V,Axis Auto Finance Inc,
AYB-H.V,Ayubowan Capital Ltd,
AZM.V,Azimut Exploration Inc.,
AZN-H.V,Arcturus Ventures Inc,
AZR.V,Azarga Metals Corp,
AZS.V,Arizona Silver Exploration Inc,
AZX.V,Alexandria Minerals Corp,
B.V,Bcm Resources Corporatio,
BAL-H.V,Balto Resources Ltd.,
BAT.V,Batero Gold Corp.,
BAV-H.V,Bravern Ventures Ltd,
BAY.V,Aston Bay Holdings Ltd,
BBB.V,Brixton Metals Corporati,
BBI.V,Blackbird Energy Inc,
BBI-WT.V,Blackbird Energy Inc Wts,
BC-P.V,Brassneck Capital Corp,
BCF.V,Builders Capital Mortgag,
BCG.V,Bcgold Corp.,
BCK.V,Blind Creek Resources Lt,
BCM.V,Bear Creek Mining Corp.,
BCN.V,Bacanora Minerals Ltd,
BCR-H.V,Bluerock Ventures Corp,
BCT.V,Briacell Therapeutics Co,
BCU-H.V,Bell Copper Corporation,
BDG.V,Black Dragon Gold Corp,
BEA.V,Belmont Resources Inc,
BEAN.V,Peekaboo Beans Inc,
BEE.V,Bee Vectoring Technologi,
BEL.V,Belvedere Resources Ltd.,
BEN-H.V,Butte Energy Inc,
BET-H.V,Bethpage Capital Corp,
BEW.V,Bewhere Holdings Inc,
BEX.V,Benton Resources Inc,
BFD.V,Beaufield Resources Inc.,
BFF.V,Nevada Energy Metals Inc,
BG.V,Barisan Gold Corporation,
BGA.V,Bioneutra Global Corporation,
BGD.V,Bullion Gold Resources C,
BGE.V,Bison Gold Resources Inc,
BGG.V,Buccaneer Gold Corp,
BGL.V,Bandera Gold Ltd.,
BGM.V,Barkerville Gold Mines L,
BGS.V,Baroyeca Gold and Silver,
BHK.V,Bhk Mining Corp.,
BHR.V,Blackheath Resources Inc,
BHS.V,Bayhorse Silver Inc,
BHT.V,Braveheart Resources Inc,
BHV.V,Bellhaven Copper and Gol,
BIT.V,Black Isle Resources Cor,
BKD.V,Breaking Data Corp,
BKM.V,Pacific Booker Minerals,
BKR.V,Berkwood Resources Ltd,
BLC-P.V,Black Lion Capital Corp,
BLM.V,Blumetric Environmental,
BLN.V,Blackline Safety Corp.,
BLR.V,Blackhawk Resource Corp,
BLS.V,Black Sea Copper and Gold Corp,
BM.V,Bc Moly Ltd,
BME.V,Barsele Minerals Corp,
BMG.V,Battle Mountain Gold Inc,
BMK.V,Macdonald Mines Expl Ltd,
BML.V,Barker Minerals Ltd,
BMM.V,Black Mammoth Metals Corp,
BMR-H.V,Bradmer Pharmaceuticals,
BN-H.V,Bluenose Gold Corp,
BNR.V,Brionor Resources Inc.,
BOC.V,Blueocean Nutrasciences,
BOL.V,Bold Ventures Inc.,
BOR.V,Border Petroleum Limited,
BOW.V,Bowmore Exploration Ltd.,
BPE.V,Brightpath Early Learnin,
BPL.V,Bluedrop Performance Lea,
BQE.V,Bioteq Environmental Technologies Inc.,
BRC.V,Blackrock Gold Corp,
BRD.V,Broadway Gold Mining Ltd,
BRI.V,Brazil Resources Inc,
BRI-WT.V,Brazil Resources Inc Wts,
BRL.V,Bearclaw Capital Corp,
BRM.V,Biorem Inc.,
BRN-PR.V,Brookfield Investments C,
BRO-H.V,Barksdale Capital Corp,
BRS.V,Brs Resources Ltd,
BRU.V,Brunswick Resources Inc,
BRZ.V,Bearing Resources Ltd,
BSH.V,Bayshore Petroleum Corp.,
BSI.V,Blue Sky Energy Inc,
BSK.V,Blue Sky Uranium Corp,
BSR.V,Bluestone Resources Inc,
BTI.V,Bioasis Technologies Inc,
BTL.V,Btl Group Ltd,
BTR.V,Bonterra Resources Inc.,
BTT.V,Bitterroot Resources Ltd,
BTV.V,Bluerush Media Group Cor,
BUD.V,Satori Resources Inc,
BUF.V,Buffalo Coal Corp,
BUL.V,Bullman Minerals Inc,
BUS.V,Grande West Transportati,
BVA.V,Bravada Gold Corporation,
BVO.V,Bevo Agro Inc.,
BWR.V,Black Widow Resources In,
BXR.V,Blue River Resources Ltd,
BYM-H.V,Baymount Incorporated,
BYN.V,Banyan Gold Corp,
BYU.V,Bayswater Uranium Corpor,
BZ-H.V,Benz Mining Corp,
CAD.V,Colonial Coal Internatio,
CAF.V,Canaf Group Inc.,
CAP.V,Castle Peak Mining Ltd,
CAT.V,Chimata Gold Corp,
CAV.V,Camrova Resources Inc,
CAY.V,Cache Exploration Inc.,
CBA.V,Champion Bear Res Ltd,
CBE.V,Cabo Drilling Corp.,
CBG.V,Chibougamau Independent,
CBI.V,Colibri Resource Corp.,
CBJ.V,Cb Gold Inc,
CBS.V,Bard Ventures Ltd,
CBV.V,Cobra Venture Corporatio,
CBX.V,Cortex Business Solution,
CCB.V,Canada Carbon Inc,
CCC.V,Cornerstone Metals Inc,
CCD.V,Cascadero Copper Corpora,
CCE.V,Commerce Resources Corp.,
CCK.V,Canada Coal Inc,
CCN-P.V,Cortina Capital Corp,
CD.V,Cantex Mine Development,
CDB.V,Cordoba Minerals Corp,
CDC.V,Cadillac Ventures Inc.,
CDG.V,Candente Gold Corp,
CDN.V,Canadream Corporation,
CDU.V,Cardero Resource Corp,
CE.V,Canada Energy Partners I,
CEA.V,Cerus Energy Group Ltd,
CEB.V,Ceiba Energy Services In,
CEI.V,Crystal Exploration Inc,
CEL-H.V,Columbus Energy Limited,
CEM.V,Constantine Metal Resour,
CEN.V,Claren Energy Corp,
CEP.V,Cliffside Capital Ltd,
CEY-H.V,Century Energy Ltd,
CFL.V,Cerf Incorporated,
CFM.V,Confederation Minerals L,
CFY.V,Changfeng Energy Inc.,
CGD.V,Carlin Gold Corp.,
CGE.V,Corex Gold Corp,
CGM.V,California Gold Mining I,
CGP.V,Cornerstone Capital Reso,
CGW.V,Corazon Gold Corp,
CH.V,Urban Select Captial Cor,
CHC.V,Chc Student Housing Corp,
CHN.V,China Education Resource,
CHQ.V,Carrus Capital Corporati,
CHY-H.V,Cypress Hills Resource C,
CID.V,Cicada Ventures Ltd.,
CIN.V,Canadian Intl Minerals I,
CIO.V,Central Iron Ore Limited,
CIP-H.V,Canadian International P,
CIT-H.V,Cr Capital Corp,
CJC.V,Canada Strategic Metals,
CKC-H.V,Cricket Resources Inc,
CKG.V,Chesapeake Gold Corp.,
CKK.V,Cordy Oilfield Services,
CKR.V,Caribou King Resources L,
CKZ-H.V,Caspian Energy Inc,
CLB.V,Colombia Crest Gold Corp,
CLE.V,Clean Commodities Corp,
CLH.V,Coral Gold Resources Ltd,
CLI.V,Clearford Water Systems,
CLM.V,Crystal Lake Mining Corp,
CLV.V,Canoe Mining Ventures Co,
CLY.V,Clarocity Corporation,
CLZ.V,Canasil Resources Inc.,
CMB.V,Cmc Metals Ltd.,
CMD.V,Commander Resources Ltd,
CMI.V,C,Com Satellite Systems
CMJ.V,Colombian Mines Corporat,
CML.V,Canickel Mining Limited,
CMM.V,Canabo Medical Inc,
CMU.V,Comet Industries Ltd.,
CMV.V,China Minerals Mining Co,
CMX.V,Chilean Metals Inc,
CN.V,Condor Resources Inc.,
CNC.V,Canyon Copper Corp,
CNH.V,Crownia Holdings Ltd,
CNO.V,California Nanotechnolog,
CNS.V,Contagious Gaming Inc,
CNX.V,Callinex Mines Inc,
CNY.V,Cancana Resources Corp,
CNZ.V,Canadian Zeolite Corp,
COB-U.V,Cohbar Inc,
COL.V,Copper North Mining Corp,
COO.V,Offsetters Climate Solut,
COQ.V,Rooster Energy Ltd,
COR.V,Camino Minerals Corporat,
COT.V,Critical Outcome Technol,
COV.V,Covalon Technologies Ltd,
CPC.V,Canadian Platinum Corp,
CPE-H.V,Capital Pro Egaux Inc,
CPL.V,Copper Lake Resources Lt,
CPM.V,Crystal Peak Minerals In,
CPO.V,Cobalt Power Group Inc,
CPS.V,Claim Post Resources Inc,
CPV.V,Copper Creek Gold Corp.,
CQR.V,Conquest Resources Ltd.,
CRB.V,Cariboo Rose Resources L,
CRD.V,Coronado Resources Ltd,
CRE.V,Critical Elements Corpor,
CRF.V,Coronet Metals Inc,
CRO.V,Canadian Arrow Mines Ltd,
CRS.V,Cardiff Energy Corp,
CRU.V,Cameo Resources Corp,
CRV.V,Cresval Capital Corp.,
CRX-H.V,Cerro Mining Corp,
CSC.V,Canex Energy Corp,
CSK.V,Cobaltech Mining Inc,
CSL.V,Comstock Metals Ltd,
CSO.V,Corsa Coal Corp,
CSP.V,Capstream Ventures Inc,
CSQ.V,Canamex Resources Corp,
CSR.V,Castle Silver Resources Inc,
CST.V,Co2 Solutions Inc.,
CSV-H.V,Caracara Silver Inc,
CSX.V,Clean Seed Capital Group,
CT.V,Centenara Mining Corpora,
CTD-H.V,Courtland Capital Inc,
CTI.V,Caiterra International E,
CTM.V,Canterra Minerals Corpor,
CTN.V,Centurion Minerals Ltd.,
CTO.V,Circa Enterprises Inc.,
CTZ.V,Cencotech Inc.,
CUC.V,Carube Copper Corp,
CUG.V,Cyprium Mining Corp,
CUI.V,Currie Rose Resources In,
CUO.V,Copper One Inc.,
CUU.V,Copper Fox Minerals Inc.,
CUV.V,Cuba Ventures Corp,
CUZ.V,Cruz Capital Corp,
CV-H.V,Chantrell Ventures Corp.,
CVA.V,Cava Resources Inc,
CVM.V,Cvr Medical Corp,
CVR.V,CDN Oil Recovery & Remed,
CVV.V,Canalaska Uranium Ltd,
CVX.V,Cematrix Corporation,
CWC.V,Cwc Energy Services Corp,
CWM.V,Crown Mining Corp,
CWN.V,Cwn Mining Acquisition C,
CWQ-H.V,Curlew Lake Resources Inc,
CWS-H.V,Cons Westview Res Corp,
CWV.V,Crown Point Energy Inc,
CXB.V,Calibre Mining Corp.,
CXE-H.V,Camex Energy Corp,
CXG-A.V,Clemex Technologies Inc.,
CXM.V,Carmax Mining Corp,
CXO.V,Colorado Resources Ltd,
CXV.V,Convalo Health Internati,
CXX.V,Candelaria Mining Corp,
CYF.V,Canyon Creek Food Co Ltd,
CYM.V,Cymat Technologies Ltd,
CYP.V,Cypress Development Corp,
CYX.V,Calyx Bio,Venture Inc.
CZ-H.V,0Necassius Ventures Ltd,
CZH.V,Crazy Horse Resources In,
CZO.V,Ceapro Inc,
CZX.V,Canada Zinc Metals Corp.,
CZY.V,Caza Gold Corp.,
DAL.V,Dalmac Energy Inc.,
DAN.V,Arianne Phosphate Inc,
DAP-U.V,Xpel Technologies Corp,
DAR.V,Darelle Online Solutions Inc,
DAU.V,Desert Gold Ventures Inc,
DBL.V,Darnley Bay Resources Li,
DBV.V,Doubleview Capital Corp,
DCY.V,Discovery,Corp. Enterpri
DE.V,Decisive Dividend Corpor,
DEC.V,Decade Resources Ltd.,
DEF.V,Defiance Silver Corp,
DEQ.V,Deq Systems Corp,
DEV-H.V,Ct Developers Ltd,
DFI.V,Diamond Field In J,
DFS.V,Global Daily Fantasy Sports Inc,
DGO.V,Durango Resources Inc,
DHR.V,Discovery Harbour Resour,
DIA.V,Margaret Lake Diamonds I,
DJI.V,Dajin Resources Corp.,
DLS.V,Dealnet Capital Corp,
DMA.V,Diamedica Inc.,
DME-H.V,Dynamic Oil and Gas Expl,
DMG-H.V,Dmd Digital Health Conne,
DMI.V,Diamcor Mining Inc.,
DMR.V,Damara Gold Corp,
DNX.V,Dynex Power Inc.,
DOS.V,Dios Exploration Inc,
DOX.V,Dorex Minerals Inc.,
DPH.V,Duncan Park Holdings Cor,
DRN-H.V,Delrand Resources Limited,
DRV.V,Duran Ventures Inc.,
DSF.V,Dusolo Fertilizers Inc,
DSM.V,Deep South Resources Inc,
DSR.V,Desert Star Resources Lt,
DSR-WT.V,Desert Star Resources Ltd Wts,
DSY.V,Destiny Media Technologi,
DUG.V,Distinct Infrastructure,
DV.V,Dolly Varden Silver Corp,
DVA.V,0Nedelivra Corp,
DVC-H.V,Devin Energy Corporation,
DVG.V,Divergent Energy Service,
DVI.V,Dunnedin Ventures Inc,
DVT.V,Divestco Inc.,
DWS.V,Diamond Estates Wines An,
DXA.V,Doxa Energy Ltd.,
DXD.V,3D Signatures Inc,
DXE.V,Dualex Energy Internatio,
DXX.V,Dxstorm.Com Inc.,
DYA.V,Dynacert Inc,
DYG.V,Dynasty Gold Corp.,
EAM.V,East Africa Metals Inc,
EAS.V,East Asia Minerals Corp.,
EBM.V,Eastwood Bio Medical Can,
EBN.V,Epicore Bionetworks Inc.,
ECC.V,Ethos Gold Corp,
ECR.V,Cartier Resources Inc.,
ECT.V,Ellipsiz Communications Ltd,
ECX-H.V,Eastcoal Inc,
ED-UN.V,Edgefront Real Estate In,
EDG.V,Endurance Gold Corp.,
EDW-H.V,Edgewater Exploration Ltd,
EEC.V,88 Capital Corp,
EEL.V,Esrey Energy Ltd,
EEN.V,Estrella Intl Energy Svc,
EEV.V,E,Energy Ventures Inc.
EGA.V,Eagle Graphite Incorpora,
EGD.V,Energold Drilling Corp.,
EGM.V,Engold Mines Ltd,
